event_time,ypred_mean,ypred_lower,ypred_upper,births,deaths,pre_ban
-22,2589.002,2472,2706.0499999999997,346115,2515,TRUE
-21,2605.006,2491.975,2720.05,369786,2591,TRUE
-20,3701.777,3565.975,3850,524669,NA,TRUE
-19,3717.035,3582,3844.025,571088,NA,TRUE
-18,3709.505,3579,3837,530702,NA,TRUE
-17,3724.005,3596,3861.0249999999996,577842,NA,TRUE
-16,3758.266,3628.975,3905,538727,3737,TRUE
-15,3709.86,3586.925,3844.075,581920,3811,TRUE
-14,3707.787,3579,3841,539286,NA,TRUE
-13,3661.288,3521.975,3803.025,576909,NA,TRUE
-12,3623.048,3493,3757.0249999999996,529706,NA,TRUE
-11,3594.073,3461.975,3725.0249999999996,569401,NA,TRUE
-10,3462.266,3328.975,3589,519360,3485,TRUE
-9,3471.913,3342,3591.025,553640,3474,TRUE
-8,3356.6,3230,3483,512803,3313,TRUE
-7,3368.383,3246.9500000000003,3491,552655,3413,TRUE
-6,3252.746,3139,3372.025,506443,NA,TRUE
-5,3140.976,3026,3263,537003,NA,TRUE
-4,3161.199,3039.9750000000004,3289,502031,NA,TRUE
-3,3197.965,3077,3330.0499999999997,541413,NA,TRUE
-2,3152.024,3033,3270.025,497816,3246,TRUE
-1,3328.022,3210.85,3461.0249999999996,549149,3332,TRUE
0,3151.785,3022.975,3284,509976,NA,FALSE
1,3210.492,3080,3344.025,547388,NA,FALSE
2,987.955,917,1056.05,185634,1123,FALSE
3,987.076,919,1056,202311,1136,FALSE
